year,month,month_name,value_liters,value_gallons,device_id,fetched_at
2024,8,Aug,1908.3121,504.1226,7067331749175058954,2026-03-03T20:33:40Z
2024,9,Sep,16097.9463,4252.6267,7067331749175058954,2026-03-03T20:33:40Z
2024,10,Oct,6054.7732,1599.5015,7067331749175058954,2026-03-03T20:33:40Z
2024,11,Nov,8504.2956,2246.5968,7067331749175058954,2026-03-03T20:33:40Z
2024,12,Dec,10041.134,2652.5865,7067331749175058954,2026-03-03T20:33:40Z
2025,1,Jan,11509.0386,3040.3657,7067331749175058954,2026-03-03T20:33:40Z
2025,2,Feb,11806.053,3118.8286,7067331749175058954,2026-03-03T20:33:40Z
2025,3,Mar,11756.7534,3105.8051,7067331749175058954,2026-03-03T20:33:40Z
2025,4,Apr,10131.9716,2676.5832,7067331749175058954,2026-03-03T20:33:40Z
2025,5,May,8816.636,2329.1084,7067331749175058954,2026-03-03T20:33:40Z
2025,6,Jun,9316.4069,2461.1338,7067331749175058954,2026-03-03T20:33:40Z
2025,7,Jul,5120.8764,1352.7922,7067331749175058954,2026-03-03T20:33:40Z
2025,8,Aug,9333.18,2465.5648,7067331749175058954,2026-03-03T20:33:40Z
2025,9,Sep,4257.2619,1124.6494,7067331749175058954,2026-03-03T20:33:40Z
2025,10,Oct,3941.6985,1041.2864,7067331749175058954,2026-03-03T20:33:40Z
2025,11,Nov,5797.2248,1531.4645,7067331749175058954,2026-03-03T20:33:40Z
2025,12,Dec,3076.1764,812.6397,7067331749175058954,2026-03-03T20:33:40Z
2026,1,Jan,3246.4064,857.6097,7067331749175058954,2026-03-03T20:33:40Z
2026,2,Feb,6257.2666,1652.9946,7067331749175058954,2026-03-03T20:33:40Z
2026,3,Mar,1671.4833,441.5591,7067331749175058954,2026-04-06T22:09:01Z
2026,4,Apr,130.5009,34.4747,7067331749175058954,2026-04-06T22:09:01Z
